Title,Artist,ConstituentID,ArtistBio,Ethnicity,Nationality,Gender,Medium,CreditLine,Classification,Department,DateAcquired,URL,ImageURL
Plate (folio 46) from MICROCOSME,Zwi Milshtein,3996,"(Israeli, born 1934)",Israeli,(Israeli),(male),"Drypoint with roulette, printed in black",Monroe Wheeler Fund,Illustrated Book,Drawings & Prints,1966-11-03,,
Plate (folio 48) from MICROCOSME,Zwi Milshtein,3996,"(Israeli, born 1934)",Israeli,(Israeli),(male),"Drypoint with roulette, printed in black",Monroe Wheeler Fund,Illustrated Book,Drawings & Prints,1966-11-03,,
Plate (folio 50) from MICROCOSME,Zwi Milshtein,3996,"(Israeli, born 1934)",Israeli,(Israeli),(male),"Drypoint with roulette, printed in black",Monroe Wheeler Fund,Illustrated Book,Drawings & Prints,1966-11-03,,
Plate (folio 52) from MICROCOSME,Zwi Milshtein,3996,"(Israeli, born 1934)",Israeli,(Israeli),(male),"Drypoint, printed in black",Monroe Wheeler Fund,Illustrated Book,Drawings & Prints,1966-11-03,,
Plate (folio 54) from MICROCOSME,Zwi Milshtein,3996,"(Israeli, born 1934)",Israeli,(Israeli),(male),"Drypoint with roulette, printed in black",Monroe Wheeler Fund,Illustrated Book,Drawings & Prints,1966-11-03,,
Plate (folio 56) from MICROCOSME,Zwi Milshtein,3996,"(Israeli, born 1934)",Israeli,(Israeli),(male),"Drypoint with roulette, printed in black",Monroe Wheeler Fund,Illustrated Book,Drawings & Prints,1966-11-03,,
Plate (folio 58) from MICROCOSME,Zwi Milshtein,3996,"(Israeli, born 1934)",Israeli,(Israeli),(male),"Drypoint and roulette, printed in black",Monroe Wheeler Fund,Illustrated Book,Drawings & Prints,1966-11-03,,
Wrapper front and spine from MICROCOSME,Zwi Milshtein,3996,"(Israeli, born 1934)",Israeli,(Israeli),(male),"Drypoints, printed in black",Monroe Wheeler Fund,Illustrated Book,Drawings & Prints,1966-11-03,,
Plate (folio 12) from MICROCOSME,Zwi Milshtein,3996,"(Israeli, born 1934)",Israeli,(Israeli),(male),"Drypoint, printed in black",Monroe Wheeler Fund,Illustrated Book,Drawings & Prints,1966-11-03,,
Plate (folio 14) from MICROCOSME,Zwi Milshtein,3996,"(Israeli, born 1934)",Israeli,(Israeli),(male),"Drypoint with roulette, printed in black",Monroe Wheeler Fund,Illustrated Book,Drawings & Prints,1966-11-03,,
Plate (folio 16) from MICROCOSME,Zwi Milshtein,3996,"(Israeli, born 1934)",Israeli,(Israeli),(male),"Drypoint, printed in black",Monroe Wheeler Fund,Illustrated Book,Drawings & Prints,1966-11-03,,
Plate (folio 18) from MICROCOSME,Zwi Milshtein,3996,"(Israeli, born 1934)",Israeli,(Israeli),(male),"Drypoint with roulette, printed in black",Monroe Wheeler Fund,Illustrated Book,Drawings & Prints,1966-11-03,,
Plate (folio 20) from MICROCOSME,Zwi Milshtein,3996,"(Israeli, born 1934)",Israeli,(Israeli),(male),"Drypoint, printed in black",Monroe Wheeler Fund,Illustrated Book,Drawings & Prints,1966-11-03,,
Plate (folio 22) from MICROCOSME,Zwi Milshtein,3996,"(Israeli, born 1934)",Israeli,(Israeli),(male),"Drypoint, printed in black",Monroe Wheeler Fund,Illustrated Book,Drawings & Prints,1966-11-03,,
Plate (folio 24) from MICROCOSME,Zwi Milshtein,3996,"(Israeli, born 1934)",Israeli,(Israeli),(male),"Drypoint with roulette, printed in black",Monroe Wheeler Fund,Illustrated Book,Drawings & Prints,1966-11-03,,
Plate (folio 2 verso) from LA PREMIÈRE AVENTURE CÉLÉSTE DE MR ANTIPYRINE,Marcel Janco,2881,"(Israeli, 1895–1984)",Israeli,(Israeli),(male),"Linoleum cut, printed in color",Purchase,Illustrated Book,Drawings & Prints,1949-09-29,,
La Première aventure céléste de Mr Antipyrine,Marcel Janco,2881,"(Israeli, 1895–1984)",Israeli,(Israeli),(male),Illustrated book with seven linoleum cuts,Purchase,Illustrated Book,Drawings & Prints,1949-09-29,https://www.moma.org/collection/works/18864,https://www.moma.org/media/W1siZiIsIjUxNzgyOSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=dc147194b3747c5b
Plate (folio 3 verso) from LA PREMIÈRE AVENTURE CÉLÉSTE DE MR ANTIPYRINE,Marcel Janco,2881,"(Israeli, 1895–1984)",Israeli,(Israeli),(male),"Linoleum cut, printed in color",Purchase,Illustrated Book,Drawings & Prints,1949-09-29,,
Plate (folio 4 verso) from LA PREMIÈRE AVENTURE CÉLÉSTE DE MR ANTIPYRINE,Marcel Janco,2881,"(Israeli, 1895–1984)",Israeli,(Israeli),(male),"Linoleum cut, printed in color",Purchase,Illustrated Book,Drawings & Prints,1949-09-29,,
Plate (folio 5 verso) from LA PREMIÈRE AVENTURE CÉLÉSTE DE MR ANTIPYRINE,Marcel Janco,2881,"(Israeli, 1895–1984)",Israeli,(Israeli),(male),"Linoleum cut, printed in color",Purchase,Illustrated Book,Drawings & Prints,1949-09-29,,
Plate (folio 6 verso) from LA PREMIÈRE AVENTURE CÉLÉSTE DE MR ANTIPYRINE,Marcel Janco,2881,"(Israeli, 1895–1984)",Israeli,(Israeli),(male),"Linoleum cut, printed in color",Purchase,Illustrated Book,Drawings & Prints,1949-09-29,,
Plate (folio 7 verso) from LA PREMIÈRE AVENTURE CÉLÉSTE DE MR ANTIPYRINE,Marcel Janco,2881,"(Israeli, 1895–1984)",Israeli,(Israeli),(male),"Linoleum cut, printed in color",Purchase,Illustrated Book,Drawings & Prints,1949-09-29,,
Tailpiece (folio 8 verso) from LA PREMIÈRE AVENTURE CÉLÉSTE DE MR ANTIPYRINE,Marcel Janco,2881,"(Israeli, 1895–1984)",Israeli,(Israeli),(male),"Linoleum cut, printed in black",Purchase,Illustrated Book,Drawings & Prints,1949-09-29,,
"THE BURNING BUSH, plate I from THE GOD SEEKERS",Reuven Rubin,5070,"(Israeli, born Romania. 1893–1974)",Israeli,(Israeli),(male),,The Louis E. Stern Collection,Illustrated Book,Drawings & Prints,1964-10-06,,
THE GOD SEEKERS,Reuven Rubin,5070,"(Israeli, born Romania. 1893–1974)",Israeli,(Israeli),(male),"12 woodcuts, printed in black; and ornamental woodcut titles (wrapper front and back), printed in color; and 2 original tables of contents embellished by the artist in 1953 with pen and ink drawings",The Louis E. Stern Collection,Illustrated Book,Drawings & Prints,1964-10-06,,
"REPOSE, plate X from THE GOD SEEKERS",Reuven Rubin,5070,"(Israeli, born Romania. 1893–1974)",Israeli,(Israeli),(male),,The Louis E. Stern Collection,Illustrated Book,Drawings & Prints,1964-10-06,,
"THE PENSIVE, plate XI from THE GOD SEEKERS",Reuven Rubin,5070,"(Israeli, born Romania. 1893–1974)",Israeli,(Israeli),(male),,The Louis E. Stern Collection,Illustrated Book,Drawings & Prints,1964-10-06,,
"SELF PORTRAIT, plate XII from THE GOD SEEKERS",Reuven Rubin,5070,"(Israeli, born Romania. 1893–1974)",Israeli,(Israeli),(male),,The Louis E. Stern Collection,Illustrated Book,Drawings & Prints,1964-10-06,,
Embellished English table of contents from THE GOD SEEKERS,Reuven Rubin,5070,"(Israeli, born Romania. 1893–1974)",Israeli,(Israeli),(male),Pen and black ink over pencil,The Louis E. Stern Collection,Illustrated Book,Drawings & Prints,1964-10-06,,
Embellished Hebrew table of contents from THE GOD SEEKERS,Reuven Rubin,5070,"(Israeli, born Romania. 1893–1974)",Israeli,(Israeli),(male),Pen and black ink over pencil,The Louis E. Stern Collection,Illustrated Book,Drawings & Prints,1964-10-06,,
"THE PRAYER ON THE MOUNTAIN, plate II from THE GOD SEEKERS",Reuven Rubin,5070,"(Israeli, born Romania. 1893–1974)",Israeli,(Israeli),(male),,The Louis E. Stern Collection,Illustrated Book,Drawings & Prints,1964-10-06,,
"THE PROPHET IN THE DESERT, plate III from THE GOD SEEKERS",Reuven Rubin,5070,"(Israeli, born Romania. 1893–1974)",Israeli,(Israeli),(male),,The Louis E. Stern Collection,Illustrated Book,Drawings & Prints,1964-10-06,,
"THE GALILEAN FISHERMAN, plate IV from THE GOD SEEKERS",Reuven Rubin,5070,"(Israeli, born Romania. 1893–1974)",Israeli,(Israeli),(male),,The Louis E. Stern Collection,Illustrated Book,Drawings & Prints,1964-10-06,,
"THE DANCERS OF MERON, plate V from THE GOD SEEKERS",Reuven Rubin,5070,"(Israeli, born Romania. 1893–1974)",Israeli,(Israeli),(male),,The Louis E. Stern Collection,Illustrated Book,Drawings & Prints,1964-10-06,,
"SANCTIFYING THE NEW MOON, plate VI from THE GOD SEEKERS",Reuven Rubin,5070,"(Israeli, born Romania. 1893–1974)",Israeli,(Israeli),(male),,The Louis E. Stern Collection,Illustrated Book,Drawings & Prints,1964-10-06,,
"THE WATER CARRIER IN MY LITTLE TOWN, plate VII from THE GOD SEEKERS",Reuven Rubin,5070,"(Israeli, born Romania. 1893–1974)",Israeli,(Israeli),(male),,The Louis E. Stern Collection,Illustrated Book,Drawings & Prints,1964-10-06,,
"FAMILY IN EXILE, plate VIII from THE GOD SEEKERS",Reuven Rubin,5070,"(Israeli, born Romania. 1893–1974)",Israeli,(Israeli),(male),,The Louis E. Stern Collection,Illustrated Book,Drawings & Prints,1964-10-06,,
"THE LOVERS, plate IX from THE GOD SEEKERS",Reuven Rubin,5070,"(Israeli, born Romania. 1893–1974)",Israeli,(Israeli),(male),,The Louis E. Stern Collection,Illustrated Book,Drawings & Prints,1964-10-06,,
VISAGES D'ISRAËL,Reuven Rubin,5070,"(Israeli, born Romania. 1893–1974)",Israeli,(Israeli),(male),1 watercolor with pen and ink (+The Stallion-; unbound supplementary drawing); and 12 signed collotype reproductions after watercolors,The Louis E. Stern Collection,Illustrated Book,Drawings & Prints,1964-10-06,,
Double page title page from INTO THE NIGHT LIFE,Bezalel Schatz,5207,"(Israeli, born 1913)",Israeli,(Israeli),(male),"Screenprint with screenprinted glassine overlay, printed in color",The Louis E. Stern Collection,Illustrated Book,Drawings & Prints,1964-10-06,,
INTO THE NIGHT LIFE,Bezalel Schatz,5207,"(Israeli, born 1913)",Israeli,(Israeli),(male),46 screenprints (including cover and double page title page with screenprinted glassine overlay): 45 printed in color and 1 printed in black,The Louis E. Stern Collection,Illustrated Book,Drawings & Prints,1964-10-06,,
In-text plate (folio 10) from INTO THE NIGHT LIFE,Bezalel Schatz,5207,"(Israeli, born 1913)",Israeli,(Israeli),(male),"Screenprint, printed in color",The Louis E. Stern Collection,Illustrated Book,Drawings & Prints,1964-10-06,,
In-text plate (folio 10 verso) from INTO THE NIGHT LIFE,Bezalel Schatz,5207,"(Israeli, born 1913)",Israeli,(Israeli),(male),"Screenprint, printed in color",The Louis E. Stern Collection,Illustrated Book,Drawings & Prints,1964-10-06,,
In-text plate (folio 12) from INTO THE NIGHT LIFE,Bezalel Schatz,5207,"(Israeli, born 1913)",Israeli,(Israeli),(male),"Screenprint, printed in color",The Louis E. Stern Collection,Illustrated Book,Drawings & Prints,1964-10-06,,
In-text plate (folio 13) from INTO THE NIGHT LIFE,Bezalel Schatz,5207,"(Israeli, born 1913)",Israeli,(Israeli),(male),"Screenprint, printed in color",The Louis E. Stern Collection,Illustrated Book,Drawings & Prints,1964-10-06,,
Double page in-text plate (folios 13 verso and 14) from INTO THE NIGHT LIFE,Bezalel Schatz,5207,"(Israeli, born 1913)",Israeli,(Israeli),(male),"Screenprint, printed in color",The Louis E. Stern Collection,Illustrated Book,Drawings & Prints,1964-10-06,,
Double page in-text plate (folios 14 verso and 15) from INTO THE NIGHT LIFE,Bezalel Schatz,5207,"(Israeli, born 1913)",Israeli,(Israeli),(male),"Screenprint, printed in color",The Louis E. Stern Collection,Illustrated Book,Drawings & Prints,1964-10-06,,
Plate (folio 15 verso) from INTO THE NIGHT LIFE,Bezalel Schatz,5207,"(Israeli, born 1913)",Israeli,(Israeli),(male),"Screenprint, printed in color",The Louis E. Stern Collection,Illustrated Book,Drawings & Prints,1964-10-06,,
In-text plate (folio 16 verso) from INTO THE NIGHT LIFE,Bezalel Schatz,5207,"(Israeli, born 1913)",Israeli,(Israeli),(male),"Screenprint, printed in color",The Louis E. Stern Collection,Illustrated Book,Drawings & Prints,1964-10-06,,
Plate (folio 17) from INTO THE NIGHT LIFE,Bezalel Schatz,5207,"(Israeli, born 1913)",Israeli,(Israeli),(male),"Screenprint, printed in black",The Louis E. Stern Collection,Illustrated Book,Drawings & Prints,1964-10-06,,
In-text plate (folio 17 verso) from INTO THE NIGHT LIFE,Bezalel Schatz,5207,"(Israeli, born 1913)",Israeli,(Israeli),(male),"Screenprint, printed in color",The Louis E. Stern Collection,Illustrated Book,Drawings & Prints,1964-10-06,,
Double page in-text plate (folios 4 verso and 5) from INTO THE NIGHT LIFE,Bezalel Schatz,5207,"(Israeli, born 1913)",Israeli,(Israeli),(male),"Screenprint, printed in color",The Louis E. Stern Collection,Illustrated Book,Drawings & Prints,1964-10-06,,
In-text plate (folio 18 verso) from INTO THE NIGHT LIFE,Bezalel Schatz,5207,"(Israeli, born 1913)",Israeli,(Israeli),(male),"Screenprint, printed in color",The Louis E. Stern Collection,Illustrated Book,Drawings & Prints,1964-10-06,,
In-text plate (folio 19) from INTO THE NIGHT LIFE,Bezalel Schatz,5207,"(Israeli, born 1913)",Israeli,(Israeli),(male),"Screenprint, printed in color",The Louis E. Stern Collection,Illustrated Book,Drawings & Prints,1964-10-06,,
In-text plate (folio 19 verso) from INTO THE NIGHT LIFE,Bezalel Schatz,5207,"(Israeli, born 1913)",Israeli,(Israeli),(male),"Screenprint, printed in color",The Louis E. Stern Collection,Illustrated Book,Drawings & Prints,1964-10-06,,
In-text plate (folio 20) from INTO THE NIGHT LIFE,Bezalel Schatz,5207,"(Israeli, born 1913)",Israeli,(Israeli),(male),"Screenprint, printed in color",The Louis E. Stern Collection,Illustrated Book,Drawings & Prints,1964-10-06,,
Double page plate (folios 20 verso and 21) from INTO THE NIGHT LIFE,Bezalel Schatz,5207,"(Israeli, born 1913)",Israeli,(Israeli),(male),"Screenprint, printed in color",The Louis E. Stern Collection,Illustrated Book,Drawings & Prints,1964-10-06,,
In-text plate (folio 21 verso) from INTO THE NIGHT LIFE,Bezalel Schatz,5207,"(Israeli, born 1913)",Israeli,(Israeli),(male),"Screenprint, printed in color",The Louis E. Stern Collection,Illustrated Book,Drawings & Prints,1964-10-06,,
In-text plate (folio 22) from INTO THE NIGHT LIFE,Bezalel Schatz,5207,"(Israeli, born 1913)",Israeli,(Israeli),(male),"Screenprint, printed in color",The Louis E. Stern Collection,Illustrated Book,Drawings & Prints,1964-10-06,,
In-text plate (folio 22 verso) from INTO THE NIGHT LIFE,Bezalel Schatz,5207,"(Israeli, born 1913)",Israeli,(Israeli),(male),"Screenprint, printed in color",The Louis E. Stern Collection,Illustrated Book,Drawings & Prints,1964-10-06,,
In-text plate (folio 23) from INTO THE NIGHT LIFE,Bezalel Schatz,5207,"(Israeli, born 1913)",Israeli,(Israeli),(male),"Screenprint, printed in color",The Louis E. Stern Collection,Illustrated Book,Drawings & Prints,1964-10-06,,
In-text plate (folio 24) from INTO THE NIGHT LIFE,Bezalel Schatz,5207,"(Israeli, born 1913)",Israeli,(Israeli),(male),"Screenprint, printed in color",The Louis E. Stern Collection,Illustrated Book,Drawings & Prints,1964-10-06,,
In-text plate (folio 5 verso) from INTO THE NIGHT LIFE,Bezalel Schatz,5207,"(Israeli, born 1913)",Israeli,(Israeli),(male),"Screenprint, printed in color",The Louis E. Stern Collection,Illustrated Book,Drawings & Prints,1964-10-06,,
In-text plate (folio 24 verso) from INTO THE NIGHT LIFE,Bezalel Schatz,5207,"(Israeli, born 1913)",Israeli,(Israeli),(male),"Screenprint, printed in color",The Louis E. Stern Collection,Illustrated Book,Drawings & Prints,1964-10-06,,
In-text plate (folio 25) from INTO THE NIGHT LIFE,Bezalel Schatz,5207,"(Israeli, born 1913)",Israeli,(Israeli),(male),"Screenprint, printed in color",The Louis E. Stern Collection,Illustrated Book,Drawings & Prints,1964-10-06,,
Double page plate (folios 25 verso and 26) from INTO THE NIGHT LIFE,Bezalel Schatz,5207,"(Israeli, born 1913)",Israeli,(Israeli),(male),"Screenprint, printed in color",The Louis E. Stern Collection,Illustrated Book,Drawings & Prints,1964-10-06,,
In-text plate (folio 26 verso) from INTO THE NIGHT LIFE,Bezalel Schatz,5207,"(Israeli, born 1913)",Israeli,(Israeli),(male),"Screenprint, printed in color",The Louis E. Stern Collection,Illustrated Book,Drawings & Prints,1964-10-06,,
In-text plate (folio 27) from INTO THE NIGHT LIFE,Bezalel Schatz,5207,"(Israeli, born 1913)",Israeli,(Israeli),(male),"Screenprint, printed in color",The Louis E. Stern Collection,Illustrated Book,Drawings & Prints,1964-10-06,,
Double page in-text plate (folios 27 verso and 28) from INTO THE NIGHT LIFE,Bezalel Schatz,5207,"(Israeli, born 1913)",Israeli,(Israeli),(male),"Screenprint, printed in color",The Louis E. Stern Collection,Illustrated Book,Drawings & Prints,1964-10-06,,
Double page in-text plate (folios 28 verso and 29) from INTO THE NIGHT LIFE,Bezalel Schatz,5207,"(Israeli, born 1913)",Israeli,(Israeli),(male),"Screenprint, printed in color",The Louis E. Stern Collection,Illustrated Book,Drawings & Prints,1964-10-06,,
In-text plate (folio 29 verso) from INTO THE NIGHT LIFE,Bezalel Schatz,5207,"(Israeli, born 1913)",Israeli,(Israeli),(male),"Screenprint, printed in color",The Louis E. Stern Collection,Illustrated Book,Drawings & Prints,1964-10-06,,
In-text plate (folio 30) from INTO THE NIGHT LIFE,Bezalel Schatz,5207,"(Israeli, born 1913)",Israeli,(Israeli),(male),"Screenprint, printed in color",The Louis E. Stern Collection,Illustrated Book,Drawings & Prints,1964-10-06,,
Double page in-text plate (folios 30 verso and 31) from INTO THE NIGHT LIFE,Bezalel Schatz,5207,"(Israeli, born 1913)",Israeli,(Israeli),(male),"Screenprint, printed in color",The Louis E. Stern Collection,Illustrated Book,Drawings & Prints,1964-10-06,,
Double page plate (folios 6 verso and 7) from INTO THE NIGHT LIFE,Bezalel Schatz,5207,"(Israeli, born 1913)",Israeli,(Israeli),(male),"Screenprint, printed in color",The Louis E. Stern Collection,Illustrated Book,Drawings & Prints,1964-10-06,,
Plate (folio 32) from INTO THE NIGHT LIFE,Bezalel Schatz,5207,"(Israeli, born 1913)",Israeli,(Israeli),(male),"Screenprint, printed in color",The Louis E. Stern Collection,Illustrated Book,Drawings & Prints,1964-10-06,,
Double page plate (folios 32 verso and 33) from INTO THE NIGHT LIFE,Bezalel Schatz,5207,"(Israeli, born 1913)",Israeli,(Israeli),(male),"Screenprint, printed in color",The Louis E. Stern Collection,Illustrated Book,Drawings & Prints,1964-10-06,,
Plate (folio 35) from INTO THE NIGHT LIFE,Bezalel Schatz,5207,"(Israeli, born 1913)",Israeli,(Israeli),(male),"Screenprint, printed in color",The Louis E. Stern Collection,Illustrated Book,Drawings & Prints,1964-10-06,,
In-text plate (folio 35 verso) from INTO THE NIGHT LIFE,Bezalel Schatz,5207,"(Israeli, born 1913)",Israeli,(Israeli),(male),"Screenprint, printed in color",The Louis E. Stern Collection,Illustrated Book,Drawings & Prints,1964-10-06,,
Double page in-text plate (folios 36 verso and 37) from INTO THE NIGHT LIFE,Bezalel Schatz,5207,"(Israeli, born 1913)",Israeli,(Israeli),(male),"Screenprint, printed in color",The Louis E. Stern Collection,Illustrated Book,Drawings & Prints,1964-10-06,,
Double page plate (folios 37 verso and 38) from INTO THE NIGHT LIFE,Bezalel Schatz,5207,"(Israeli, born 1913)",Israeli,(Israeli),(male),"Screenprint, printed in color",The Louis E. Stern Collection,Illustrated Book,Drawings & Prints,1964-10-06,,
Cover from INTO THE NIGHT LIFE,Bezalel Schatz,5207,"(Israeli, born 1913)",Israeli,(Israeli),(male),"Screenprint, printed in color",The Louis E. Stern Collection,Illustrated Book,Drawings & Prints,1964-10-06,,
In-text plate (folio 7 verso) from INTO THE NIGHT LIFE,Bezalel Schatz,5207,"(Israeli, born 1913)",Israeli,(Israeli),(male),"Screenprint, printed in color",The Louis E. Stern Collection,Illustrated Book,Drawings & Prints,1964-10-06,,
In-text plate (folio 8) from INTO THE NIGHT LIFE,Bezalel Schatz,5207,"(Israeli, born 1913)",Israeli,(Israeli),(male),"Screenprint, printed in color",The Louis E. Stern Collection,Illustrated Book,Drawings & Prints,1964-10-06,,
In-text plate (folio 8 verso) from INTO THE NIGHT LIFE,Bezalel Schatz,5207,"(Israeli, born 1913)",Israeli,(Israeli),(male),"Screenprint, printed in color",The Louis E. Stern Collection,Illustrated Book,Drawings & Prints,1964-10-06,,
In-text plate (folio 9) from INTO THE NIGHT LIFE,Bezalel Schatz,5207,"(Israeli, born 1913)",Israeli,(Israeli),(male),"Screenprint, printed in color",The Louis E. Stern Collection,Illustrated Book,Drawings & Prints,1964-10-06,,
In-text plate (folio 9 verso) from INTO THE NIGHT LIFE,Bezalel Schatz,5207,"(Israeli, born 1913)",Israeli,(Israeli),(male),"Screenprint, printed in color",The Louis E. Stern Collection,Illustrated Book,Drawings & Prints,1964-10-06,,
"TENTS IN BETH ALPHA, plate 1 (folio 3) from SCENES FROM THE KEREN HAYESOD SETTLEMENTS IN THE EMEK JEZREEL",Grete Wolf-Krakauer,6429,"(Israeli, born Austria-Hungary. 1890–1970)",Israeli,(Israeli),(female),,The Louis E. Stern Collection,Illustrated Book,Drawings & Prints,1964-10-06,,
SCENES FROM THE KEREN HAYESOD SETTLEMENTS IN THE EMEK JEZREEL,Grete Wolf-Krakauer,6429,"(Israeli, born Austria-Hungary. 1890–1970)",Israeli,(Israeli),(female),"6 lithographs, printed in color",The Louis E. Stern Collection,Illustrated Book,Drawings & Prints,1964-10-06,,
"BETH ALPHA FROM ABOVE, plate 2 (folio 4) from SCENES FROM THE KEREN HAYESOD SETTLEMENTS IN THE EMEK JEZREEL",Grete Wolf-Krakauer,6429,"(Israeli, born Austria-Hungary. 1890–1970)",Israeli,(Israeli),(female),,The Louis E. Stern Collection,Illustrated Book,Drawings & Prints,1964-10-06,,
"THE EMEK JEZREEL, plate 3 (folio 5) from SCENES FROM THE KEREN HAYESOD SETTLEMENTS IN THE EMEK JEZREEL",Grete Wolf-Krakauer,6429,"(Israeli, born Austria-Hungary. 1890–1970)",Israeli,(Israeli),(female),,The Louis E. Stern Collection,Illustrated Book,Drawings & Prints,1964-10-06,,
"NAHALAL, plate 4 (folio 6) from SCENES FROM THE KEREN HAYESOD SETTLEMENTS IN THE EMEK JEZREEL",Grete Wolf-Krakauer,6429,"(Israeli, born Austria-Hungary. 1890–1970)",Israeli,(Israeli),(female),,The Louis E. Stern Collection,Illustrated Book,Drawings & Prints,1964-10-06,,
"A SYCAMORE IN TEL-JOSEPH, plate 5 (folio 7) from SCENES FROM THE KEREN HAYESOD SETTLEMENTS IN THE EMEK JEZREEL",Grete Wolf-Krakauer,6429,"(Israeli, born Austria-Hungary. 1890–1970)",Israeli,(Israeli),(female),,The Louis E. Stern Collection,Illustrated Book,Drawings & Prints,1964-10-06,,
"KINDERGARTEN IN NAHALAL, plate 6 (folio 8) from SCENES FROM THE KEREN HAYESOD SETTLEMENTS IN THE EMEK JEZREEL",Grete Wolf-Krakauer,6429,"(Israeli, born Austria-Hungary. 1890–1970)",Israeli,(Israeli),(female),,The Louis E. Stern Collection,Illustrated Book,Drawings & Prints,1964-10-06,,
Untitled,Pinchas Cohen Gan,1177,"(Israeli, born 1942)",Israeli,(Israeli),(male),"Pencil, charcoal, and chalk on paper",Gift of Avalon S. Krukin,Drawing,Drawings & Prints,1975-01-24,https://www.moma.org/collection/works/33404,
Jerusalem Hills,Anna Ticho,5874,"(Israeli, 1894–1981)",Israeli,(Israeli),(female),Charcoal on paper,Gift of Mr. and Mrs. George M. Jaffin,Drawing,Drawings & Prints,1965-01-12,https://www.moma.org/collection/works/33412,
Untitled,Moshe Gershuni,2134,"(Israeli, 1936–2017)",Israeli,(Israeli),(male),Oil on paper,Gift of George Jaffin,Drawing,Drawings & Prints,1988-02-19,,
Untitled,Gabi Klasmer,3128,"(Israeli, born 1950)",Israeli,(Israeli),(female),Gouache on paper,Gift of George Jaffin,Drawing,Drawings & Prints,1988-02-19,https://www.moma.org/collection/works/33495,
Jerusalem,Anna Ticho,5874,"(Israeli, 1894–1981)",Israeli,(Israeli),(female),Charcoal on paper,Given anonymously,Drawing,Drawings & Prints,1970-03-05,https://www.moma.org/collection/works/33714,https://www.moma.org/media/W1siZiIsIjIwODE2NSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=98cff43abf38a34b
BRANCHES HORIZONTAL-BEAMS VERTICAL HOMAGE TO THE GREAT BUILDERS,Igael Tumarkin,5968,"(Israeli, born 1933)",Israeli,(Israeli),(male),"Cut-and pasted paper, synthetic polymer paint, pencil, and chalk",Gift of Mr. and Mrs. George M. Jaffin,Drawing,Drawings & Prints,1979-05-07,,
Noah's Ark,Shalom Of Safed (Shalom Moskowitz),5370,"(Israeli, 1895–1980)",Israeli,(Israeli),(male),Synthetic polymer paint on paper,Gift of the Jerome L. and Jane Stern Foundation,Drawing,Drawings & Prints,1966-04-12,https://www.moma.org/collection/works/35505,https://www.moma.org/media/W1siZiIsIjIwODQ3MiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=7b20aa226b94864b
Untitled (No. 101),Jacob El Hanani,1710,"(Israeli, born 1947)",Israeli,(Israeli),(male),Ink on paper,Gift of George M. Jaffin,Drawing,Drawings & Prints,1978-04-04,https://www.moma.org/collection/works/35875,https://www.moma.org/media/W1siZiIsIjE3MTAxOCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=090bfe0bcd23da2d
Shura,Jacob El Hanani,1710,"(Israeli, born 1947)",Israeli,(Israeli),(male),Ink on paper,Gift of Sarah-Ann and Werner H. Kramarsky,Drawing,Drawings & Prints,1999-10-21,https://www.moma.org/collection/works/36621,https://www.moma.org/media/W1siZiIsIjExMDg1MyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=08ef8fffad32e254
Untitled,Moshe Kupferman,3301,"(Israeli, 1926–2003)",Israeli,(Israeli),(male),Charcoal and graphite pencil on paper,Gift of Mr. and Mrs. Peter J. Scott,Drawing,Drawings & Prints,1977-06-14,https://www.moma.org/collection/works/36700,
Untitled,Moshe Kupferman,3301,"(Israeli, 1926–2003)",Israeli,(Israeli),(male),Synthetic polymer paint and graphite pencil on paper,Gift of Mr. and Mrs. Peter J. Scott,Drawing,Drawings & Prints,1977-06-14,https://www.moma.org/collection/works/36704,
Untitled,Schlomo Koren,3221,"(Israeli, born 1932)",Israeli,(Israeli),(male),"Chalk, wash, oil, pencil, ink fingerprints, charred spots on paper",Lester Avnet Fund,Drawing,Drawings & Prints,1967-06-06,,
Landscape behind Rocks,Anna Ticho,5874,"(Israeli, 1894–1981)",Israeli,(Israeli),(female),Pencil on paper,Gift of Loula D. Lasker,Drawing,Drawings & Prints,1953-11-04,https://www.moma.org/collection/works/37116,https://www.moma.org/media/W1siZiIsIjI4MzQ0MiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=1fe2336e5b84cd53
Untitled,Moshe Kupferman,3301,"(Israeli, 1926–2003)",Israeli,(Israeli),(male),Synthetic polymer paint on paper,Gift of Lawrence Luhring,Drawing,Drawings & Prints,1990-12-12,,
Untitled,Nahum Tevet,5839,"(Israeli, born 1946)",Israeli,(Israeli),(male),Graphite on cut-and-pasted paper,Gift of Lawrence Luhring,Drawing,Drawings & Prints,1990-12-12,,
